0,1,2,3,4,5,6,7,8,9,10,11
0.42729777,1.4532468,0.9903036,0.398015,0.60616314,0.44356015,-0.14855511,-1.6281585,-1.6991191,0.19048418,0.25661808,0.36139405
0.8792872,0.9292625,0.88769853,1.7653689,1.281225,-0.2686944,-0.6016609,-0.91359836,-1.810535,-0.9798601,-0.6314439,-0.7847247
1.1662613,0.80321014,0.5659772,1.6566485,0.16990618,1.1433574,0.655758,-0.37000537,0.21154176,-0.57312596,0.30277205,-0.07079385
1.2217469,0.9278792,0.4972411,-0.1133748,0.55209607,2.0908313,0.3442806,-0.107090265,-0.33136478,-0.2957815,0.30913794,-0.39230925
-1.103921,0.15306674,-0.59192324,-0.22847201,-0.3035142,-0.11544737,-0.5317868,0.83994555,0.9493672,-0.3302133,0.43082204,0.33127528
0.7114885,0.5505303,-0.09136862,0.8832792,0.90066123,0.6727788,-1.0169965,-0.88513565,0.4639459,-0.8720237,-1.8071111,-1.9246342
-0.33206153,-0.4704768,-0.64533865,0.055464823,-0.11483217,-0.74033546,-0.6553085,0.13489585,-0.37300974,-0.58395046,-1.6457317,-1.832538
-0.0015667429,0.30147797,1.5342503,1.303645,-1.340015,0.006399442,2.1428747,0.53164583,0.32803872,1.2775036,0.62160534,0.0802706
1.1064444,0.5004906,0.5997106,1.254427,0.8692817,0.694223,-0.1972326,0.6163405,1.3709546,0.35924768,-0.7988546,-0.046253342
1.0610482,-0.37861407,-0.4088174,0.25027508,-0.29661527,0.74757296,0.26387048,0.25179747,-0.7975833,-0.57971543,-0.4670195,-0.26722178
1.8747661,0.24721028,0.04447069,0.85572207,0.1999802,-1.0134647,-1.2515022,-0.7892585,-1.1653821,-1.7336769,0.064770594,-0.1660513
-0.3144661,-0.31309304,1.9453082,0.19994451,0.028159322,0.5337731,0.45448685,0.73357064,0.3476369,0.040577307,0.46320483,1.1366832
1.4038897,0.9738398,0.12485796,-0.48492348,0.2688495,1.8622489,1.021929,-0.3649098,-0.07651397,0.020169498,-1.391407,-0.29870263
1.7891736,1.6185884,0.021737745,0.3853292,0.19345799,-0.19079918,-0.099650905,0.5336804,1.1862179,1.1990013,0.88588464,1.766706
1.4357449,0.6951402,-0.15564038,-0.0258939,-0.2781128,-0.6256148,-0.32480314,0.59901583,1.0353922,-1.1692231,-1.0708796,-1.0066193
0.6497266,-1.2050357,-0.53880554,0.122765355,1.0002699,1.2050854,-0.47321945,1.1853439,-0.50848454,-1.8344933,-1.6159655,-1.6031557
0.7475535,0.42682552,1.5263017,0.89091414,-1.9493538,-0.70233524,1.324909,-0.44218057,-1.500996,-0.6189673,-1.1288685,0.09768874
-1.4634035,-1.0685412,-0.47452673,-0.39076686,-0.6320841,-1.5117378,0.85269314,1.5929348,1.3930632,1.7764732,1.1908954,0.25937268
-1.1050255,-0.35804453,0.5553348,0.7657046,0.10528604,-0.5235669,-0.08211988,-0.7035521,-0.41155875,1.3030173,-0.86631304,0.5603143
0.7328407,0.3338991,1.3583509,1.1854408,0.7166313,1.6697956,0.5146948,0.27097893,-1.463709,-0.44293693,-0.24178524,0.86327803
0.12435297,0.3773241,0.02149974,0.61167854,-0.92201024,-1.2682223,-1.846005,-1.2449585,0.997456,-0.3675922,-1.428254,-1.1498569
-0.4876127,-1.0435401,-0.39622578,0.48492143,-0.32601973,-0.85445213,-0.45785165,1.186929,-0.9380689,-2.1284842,-0.6780825,0.3837742
-0.29200944,-0.34781173,-1.4158883,-0.99941766,-0.5218012,-0.3251773,0.54870015,-0.2580934,0.5147998,-0.45696476,0.42023918,-0.08459397
0.077534124,1.6021756,0.50877076,1.4659525,1.7473298,0.50262344,0.30897692,-1.1498353,-1.10708,-1.051628,-0.34799805,-0.08943962
0.6106647,-0.02981455,0.07419816,1.1442933,0.86663663,0.2203458,0.4701798,1.6339555,0.18567348,-0.683939,0.3923923,2.2467682
-0.2795279,-0.13182451,0.591637,-0.26237708,-0.6967824,-0.35608864,-0.7458122,-1.823148,-1.5522708,0.057959225,0.1456223,0.30866653
0.89002043,0.3279738,-0.8196403,-0.09947443,0.6449112,2.2454522,1.7083286,1.8210744,1.918774,0.35559985,-0.3942936,0.017849104
0.38262033,0.98926014,1.0159297,0.5612235,-0.26907668,0.5727696,1.2670863,1.2469088,0.44413677,-0.65051264,-0.014417927,0.022184271
0.026232181,-1.3542782,0.3222601,0.1824193,0.13422142,0.58657753,-1.275167,-0.6134028,-0.49382645,1.2649817,1.1253358,-0.43814132
-0.77135605,1.0723872,0.3088304,0.5325012,0.34281006,-0.48517665,-0.07821012,-0.15315162,0.29028946,-0.4583048,-0.59689295,-2.1352477
-1.1395612,0.022367375,0.5608922,0.09479388,-1.2034041,-0.21233302,0.18690704,-0.6751964,0.36854467,-0.74555016,-2.5733895,-2.487896
0.8994471,0.39947757,0.23055908,0.39553034,-0.4159269,0.9281078,0.9045372,0.38438997,0.66830015,0.22912538,-1.7859868,-0.4343384
-0.33680668,-1.0235214,0.49244538,1.1414793,0.24700825,1.7630215,1.4524654,0.58865243,1.0192627,-0.3739776,-1.2520597,-0.5482614
0.08133212,-0.9827132,-0.83034295,0.5835331,-0.031084605,-0.61810076,-0.61163753,-0.41416743,-0.009307595,-0.35826495,-1.4679723,-1.7439651
-2.448488,-3.0860689,-0.52319664,-0.0099151805,-1.2885758,-0.9029416,-0.5916146,-0.4028453,1.1655334,0.29996705,-0.55903196,-0.3738215
-0.2815626,0.3035549,0.5675865,1.7486666,-0.42816222,-2.085737,0.71239686,0.6764798,-0.8026588,-2.2387571,-1.2945236,-0.24211407
-0.017769523,-0.5877748,-0.49643922,0.29592675,0.10568954,1.3559428,0.6879695,-0.3470349,-0.08192624,2.2786617,0.38013878,-0.950027
0.7434148,0.18516149,0.18984976,0.934771,-0.8653962,-0.033109877,-0.68677235,-2.2287734,-1.3738008,-0.039655298,1.4733163,1.973106
-0.4553831,-0.2729584,-1.0035133,0.54479504,1.0187104,0.7578189,-0.49844667,-0.13011953,1.5215583,0.48475915,0.23514777,0.6103782
-0.042079307,-0.5652179,-0.39398682,2.3195689,0.009484212,-0.10315856,-0.8266041,-1.0125926,0.94557667,-0.50694835,-0.76597154,-1.4766579
0.540238,0.015485399,-1.1525669,1.338404,1.8157175,-0.0043754494,0.14798363,-0.15452366,0.05001887,1.3068037,1.1415077,0.5837852
0.6954017,1.5859565,2.0021188,1.0720652,0.15539889,0.73352116,0.11361168,-0.54720426,-0.1426507,0.65309614,0.66983116,-0.2609834
0.21747777,0.45985875,0.6167289,1.6661737,0.96054107,1.0922402,-0.4384082,-1.3087772,0.43608466,0.6311524,0.006561629,-0.37512454
1.2284238,-0.23081535,-0.080375224,0.45571005,0.49215585,1.6255208,0.44466004,0.26391733,-0.13622028,-0.515868,-0.64367974,0.71208537
0.19173227,1.0025551,-1.3345324,-0.4419954,1.4186236,0.3906154,-1.8689202,-0.39600527,-0.81418633,-1.7010938,0.4899648,0.39890602
-0.8370675,-1.0675039,-0.62285423,0.6480488,0.5309317,2.241228,1.1611912,0.9258515,-0.26418453,0.07241624,0.6186488,0.47037035
-0.09706131,0.38568443,-1.5771925,-0.3084139,0.54902124,-0.3246141,-0.3072052,-0.76198107,-0.015950097,-0.47569993,0.37834182,-2.0227983
-0.6209337,0.45942575,-1.0155542,1.8209074,2.677005,-0.5380083,0.7869895,1.0918905,0.36323056,-1.1347107,-1.2181398,-0.5234284
